acquisition,inchikey,column_hash,column,entryid
AU,UURAUHCOJAIIRQ-QGLSALSOSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105505
AU,UURAUHCOJAIIRQ-QGLSALSOSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105506
AU,JTSDBFGMPLKDCD-XVFHVFLVSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105603
AU,WBPYTXDJUQJLPQ-VMXQISHHSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105701
AU,WBPYTXDJUQJLPQ-VMXQISHHSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105702
AU,WBPYTXDJUQJLPQ-VMXQISHHSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105703
AU,WBPYTXDJUQJLPQ-VMXQISHHSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105704
AU,WBPYTXDJUQJLPQ-VMXQISHHSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105705
AU,WBPYTXDJUQJLPQ-VMXQISHHSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105706
AU,HXHWSAZORRCQMX-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105801
AU,HXHWSAZORRCQMX-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105804
AU,HXHWSAZORRCQMX-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105805
AU,CLSJYOLYMZNKJB-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105901
AU,CLSJYOLYMZNKJB-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105904
AU,CLSJYOLYMZNKJB-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU105905
AU,VXTGHWHFYNYFFV-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106001
AU,VXTGHWHFYNYFFV-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106002
AU,VXTGHWHFYNYFFV-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106003
AU,VXTGHWHFYNYFFV-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106004
AU,VXTGHWHFYNYFFV-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106005
AU,HDDSHPAODJUKPD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106201
AU,HDDSHPAODJUKPD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106202
AU,HDDSHPAODJUKPD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106203
AU,HDDSHPAODJUKPD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106204
AU,HDDSHPAODJUKPD-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106205
AU,CPEUVMUXAHMANV-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106301
AU,CPEUVMUXAHMANV-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106302
AU,CPEUVMUXAHMANV-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106303
AU,CPEUVMUXAHMANV-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106304
AU,CPEUVMUXAHMANV-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106305
AU,OPXLLQIJSORQAM-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106401
AU,OPXLLQIJSORQAM-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106402
AU,OPXLLQIJSORQAM-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106403
AU,OPXLLQIJSORQAM-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106404
AU,OPXLLQIJSORQAM-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106405
AU,BEZZFPOZAYTVHN-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106501
AU,BEZZFPOZAYTVHN-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106502
AU,BEZZFPOZAYTVHN-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106503
AU,BEZZFPOZAYTVHN-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106504
AU,BEZZFPOZAYTVHN-UHFFFAOYSA-N,aa603183,"Acclaim RSLC C18 2.2um, 2.1x100mm, Thermo",AU106505
